IceCC opcode name, opcode ID, parameters, opcode description

playfram          0x00 - <frame#> - displays a particular frame, adjusted for direction.
sigorder          0x24 - <signal#> - allows the current unit's order to proceed if it has paused for an animation to be completed.
attackwith        0x25 - <ground = 1, air = 2> - attack with either the ground or air weapon depending on a parameter.
attack            0x26 - no parameters - attack with either the ground or air weapon depending on target.
castspell         0x27 - no parameters - identifies when a spell should be cast in a spellcasting animation. The spell is determined by the unit's current order.
useweapon         0x28 - <weapon#> - makes the unit use a specific weapons.dat ID on its target.
move              0x29 - <movedistance> - sets the unit to move forward a certain number of pixels at the end of the current tick.
gotorepeatattk    0x2a - no parameters - signals to StarCraft that after this point, when the unit's cooldown time is over, the repeat attack animation can be called.
engframe          0x2b - <frame#> - plays a particular frame, often used in engine glow animations.
engset            0x2c - <frameset#> - plays a particular frame set, often used in engine glow animations.
__2d              0x2d - no parameters - hypothesised to hide the current image overlay until the next animation.
nobrkcodestart    0x2e - no parameters - holds the processing of player orders until a nobrkcodeend is encountered.
nobrkcodeend      0x2f - no parameters - allows the processing of player orders after a nobrkcodestart instruction.
ignorerest        0x30 - no parameters - conceptually, this causes the script to stop until the next animation is called.
attkshiftproj     0x31 - <distance> - creates the weapon flingy at a particular distance in front of the unit.
tmprmgraphicstart 0x32 - no parameters - sets the current image overlay state to hidden.
tmprmgraphicend   0x33 - no parameters - sets the current image overlay state to visible.
setfldirect       0x34 - <direction> - sets the current direction of the flingy.
call              0x35 - <labelname> - calls a code block.
return            0x36 - no parameters - returns from call.
setflspeed        0x37 - <speed> - sets the flingy.dat speed of the current flingy.
creategasoverlays 0x38 - <gasoverlay#> - creates gas image overlays at offsets specified by LO* files.
pwrupcondjmp      0x39 - <labelname> - jumps to a code block if the current unit is a powerup and it is currently picked up.
trgtrangecondjmp  0x3a - <distance> <labelname> - jumps to a block depending on the distance to the target.
trgtarccondjmp    0x3b - <angle1> <angle2> <labelname> - jumps to a block depending on the current angle of the target.
curdirectcondjmp  0x3c - <angle1> <angle2> <labelname> - only for units. Jump to a code block if the current sprite is facing a particular direction.
imgulnextid       0x3d - <x> <y> - displays an active image overlay at the shadow animation level at a specified offset position. The image overlay that will be displayed is the one that is after the current image overlay in images.dat.
__3e              0x3e - no parameters - unknown.
liftoffcondjmp    0x3f - <labelname> - jumps to a code block when the current unit that is a building that is lifted off.
warpoverlay       0x40 - <frame#> - hypothesised to display the current image overlay's frame clipped to the outline of the parent image overlay.
orderdone         0x41 - <signal#> - most likely used with orders that continually repeat, like the Medic's healing and the Valkyrie's afterburners (which no longer exist), to clear the sigorder flag to stop the order.
grdsprol          0x42 - <sprite#> <x> <y> - spawns a sprite one animation level above the current image overlay at a specific offset position, but only if the current sprite is over ground-passable terrain.
__43              0x43 - no parameters - unknown.
dogrddamage       0x44 - no parameters - applies damage like domissiledmg when on ground-unit-passable terrain.
